"Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate","Nombre_U","Direccion_Busqueda","latitude","longitude"
"Yes",1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,"Abilene Christian University","Abilene Christian University, USA",32.469279,-99.7072823
"Yes",2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,"Adelphi University","Adelphi University, USA",40.7172558,-73.6542946
"Yes",1428,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,"Adrian College","Adrian College, USA",41.89755,-84.0605
"Yes",417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,"Agnes Scott College","Agnes Scott College, USA",33.769078,-84.296051
"Yes",193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,"Alaska Pacific University","Alaska Pacific University, USA",61.1893195,-149.8060206
"Yes",587,479,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,9727,55,"Albertson College","Albertson College, USA",40.7756199,-73.6504956
"Yes",353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,"Albertus Magnus College","Albertus Magnus College, USA",41.332511,-72.923946
"Yes",1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,"Albion College","Albion College, USA",42.2438216,-84.741197
"Yes",1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,"Albright College","Albright College, USA",40.361351,-75.909742
"Yes",582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52,"Alderson-Broaddus College","Alderson-Broaddus College, USA",39.1606951,-80.0488769
"Yes",1732,1425,472,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73,"Alfred University","Alfred University, USA",42.255987,-77.788083
"Yes",2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,"Allegheny College","Allegheny College, USA",41.65929,-80.14117
"Yes",1179,780,290,38,64,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74,"Allentown Coll. of St. Francis de Sales","Allentown Coll. of St. Francis de Sales, USA",40.53816,-75.37685
"Yes",1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,"Alma College","Alma College, USA",43.379777,-84.669293
"Yes",494,313,157,23,46,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55,"Alverno College","Alverno College, USA",42.981559,-87.96311
"Yes",1420,1093,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,"American International College","American International College, USA",42.1120136,-72.558867
"Yes",4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,"Amherst College","Amherst College, USA",42.369199,-72.518281
"Yes",1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,"Anderson University","Anderson University, USA",40.1117678,-85.6661389
"Yes",1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,"Andrews University","Andrews University, USA",41.9675361,-86.3609231
"No",3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34,"Angelo State University","Angelo State University, USA",31.440963,-100.466736
"Yes",713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48,"Antioch University","Antioch University, USA",39.7985928,-83.8905738
"No",7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,"Appalachian State University","Appalachian State University, USA",36.212506,-81.678218
"Yes",619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65,"Aquinas College","Aquinas College, USA",42.357288,-71.194646
"No",12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48,"Arizona State University Main campus","Arizona State University Main campus, USA",33.41728,-111.9355
"Yes",708,334,166,46,74,530,182,8644,3922,500,800,79,88,12.6,24,14579,54,"Arkansas College (Lyon College)","Arkansas College (Lyon College), USA",35.7783064,-91.6242232
"No",1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,"Arkansas Tech University","Arkansas Tech University, USA",35.2916949,-93.1371422
